0,1
0,1
0,1
1,2
0,3
0,7
2,7
1,8
2,9
3,4
0,9
0,12
1,12
3,13
2,14
1,15
1,17
3,18
1,19
2,19
3,19
0,20
2,20
3,23
3,25
2,26
2,26
2,28
3,29
2,30
3,31
1,31
1,34
0,35
2,35
2,35
3,36
1,36
1,38
0,39
3,40
0,42
3,42
2,43
3,44
3,46
3,46
3,46
0,51
0,52
1,52
2,54
0,55
3,55
3,56
1,56
0,57
1,57
3,58
2,58
0,59
1,59
0,60
1,60
2,60
3,61
0,63
3,64
2,73
3,73
1,74
0,75
2,75
0,77
3,77
0,78
1,78
0,80
1,81
1,85
0,85
3,86
2,86
2,87
0,87
2,89
1,92
3,93
3,94
0,95
2,94
1,95
3,95
2,96
1,97
3,99
3,99
2,100
3,101
0,102
1,102
0,102
