0,3
1,4
0,5
2,3
1,6
0,8
1,8
0,9
2,9
1,10
0,11
2,11
3,13
2,14
0,14
1,15
3,16
2,17
3,17
2,18
0,18
3,21
3,23
2,24
0,25
0,25
1,26
3,26
1,28
3,30
0,31
3,32
2,32
0,33
1,36
0,37
2,37
1,38
0,38
3,38
3,40
2,41
0,42
1,44
0,44
2,45
2,45
2,48
0,49
2,50
1,51
0,53
3,54
1,53
2,54
1,55
0,55
2,56
3,57
3,59
3,60
0,61
1,64
3,63
2,64
0,65
1,65
0,65
1,66
0,67
3,67
0,68
2,68
1,69
0,71
0,74
2,75
0,76
2,77
2,80
1,80
3,81
0,81
2,82
1,82
1,84
3,85
0,85
1,86
1,87
0,87
1,88
2,89
0,91
3,92
2,92
0,93
1,94
2,94
3,97
1,99
0,100
1,100
0,100
1,101
2,103
3,103
