 0,1
0,1
1,2
1,4
2,3
1,6
0,5
1,6
3,11
1,12
2,12
1,12
0,13
3,15
0,16
2,16
0,16
1,17
1,19
0,20
1,22
0,22
2,23
1,24
1,24
0,27
1,27
3,27
0,29
0,29
1,29
2,30
3,32
2,32
1,31
0,33
3,34
1,34
3,35
0,36
3,37
1,38
2,37
2,39
1,41
1,43
2,43
3,44
1,45
0,45
2,45
1,46
0,47
1,48
0,49
1,49
3,50
3,50
2,51
2,52
3,52
2,56
0,57
1,58
2,60
0,61
1,61
2,62
3,62
1,62
2,66
3,67
2,68
1,69
3,70
0,70
3,70
2,71
1,72
1,74
3,75
1,76
2,75
3,76
1,76
2,77
3,79
3,79
2,81
0,81
3,81
3,83
0,83
0,83
2,84
3,84
2,84
3,88
3,90
1,90
0,93
0,96
0,98
0,98
2,97
0,98
2,100
2,102
1,103
